name,gender,SSN,age,complete address,zipcode of residence,state of residence,S1,S2,S3
Michelle Norman,Female,127-02-2748,54,PSC 0636  Box 0953 APO AE 80470,80470,AE,AGREE,STRONGLY DISAGREE,DISAGREE
Mary Bradley,Female,145-91-8773,47,7162 Reed Mission Suite 001 Randallville  CA 33654,33654,CA,AGREE,STRONGLY AGREE,AGREE
Brian Duncan,Male,015-87-2797,39,576 Castro Curve Port Kennethbury  NH 98429,98429,NH,DISAGREE,AGREE,STRONGLY AGREE
Gary Smith,Male,310-93-5167,62,PSC 1001  Box 0320 APO AA 60233,60233,AA,STRONGLY AGREE,don't know,STRONGLY DISAGREE
Nathan Robinson,Male,399-45-4148,41,248 Lowe Viaduct Apt. 019 Port Lee  VT 19963,19963,VT,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Sarah Hamilton,Female,422-19-5819,78,9830 Emily Walks Suite 941 Michaelton  ID 54866,54866,ID,DISAGREE,DISAGREE,STRONGLY DISAGREE
Rebecca Anderson,Female,608-83-7158,54,3980 Brown Place Apt. 959 South Tracy  MI 70058,70058,MI,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Brenda Cooper,Female,273-27-8677,40,373 Richard Valley Isaacport  RI 47863,47863,RI,STRONGLY AGREE,STRONGLY AGREE,AGREE
Ann Smith,Female,458-68-7746,32,420 Carter Skyway North Tammy  OK 46571,46571,OK,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Bobby Dyer,Male,302-25-3832,63,1119 Fox Alley West Nathanport  IL 19740,19740,IL,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Zachary Graham,Male,391-60-9029,56,37179 Scott Hollow Suite 782 Mcdonaldview  TX 27416,27416,TX,DISAGREE,AGREE,AGREE
Michelle Peters,Female,220-74-6832,62,49059 Bailey Mews West Rebecca  IA 61817,61817,IA,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Steven Wright,Male,482-18-7150,75,USS Guzman FPO AP 92279,92279,AP,DISAGREE,AGREE,STRONGLY DISAGREE
Anna Jones,Female,425-25-4786,23,16563 Stewart Cape Suite 236 Lake Linda  FL 42860,42860,FL,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Andrea Gonzales,Female,398-96-2640,61,802 Davis Loaf Suite 549 Lake Lindamouth  WV 85502,85502,WV,DISAGREE,don't know,AGREE
Joseph Davis,Male,208-38-0450,32,4026 Jones Ramp Apt. 494 West Toddview  NE 53546,53546,NE,AGREE,DISAGREE,STRONGLY AGREE
Brittany Thompson,Female,384-06-6205,57,965 Rangel Trail Allenborough  CO 22264,22264,CO,AGREE,AGREE,DISAGREE
John Hull,Male,061-85-5129,54,0215 Mariah Keys Clarkmouth  TN 35174,35174,TN,AGREE,STRONGLY AGREE,DISAGREE
Katherine Taylor,Female,546-06-1383,66,12088 Brian Summit Suite 111 Alexishaven  IN 67472,67472,IN,DISAGREE,DISAGREE,STRONGLY DISAGREE
Norman Newman,Male,712-77-3742,25,649 Bartlett Coves Port Amanda  IL 26055,26055,IL,AGREE,STRONGLY AGREE,STRONGLY AGREE
Jessica Freeman,Female,714-95-1380,41,8245 James Pass Pettyfurt  RI 93739,93739,RI,STRONGLY AGREE,AGREE,AGREE
Christian Lee,Male,627-88-1476,66,USNS Flores FPO AP 13024,13024,AP,AGREE,STRONGLY DISAGREE,AGREE
Steve Watts,Male,523-03-6750,50,49638 Eric Greens Suite 276 West Katherineville  IA 12255,12255,IA,AGREE,DISAGREE,STRONGLY DISAGREE
Scott Wilson,Male,729-27-9697,20,3821 Kristen Crossing North Christopher  IA 19706,19706,IA,AGREE,AGREE,AGREE
Jesse Willis,Male,391-34-8254,23,056 Sherri Camp New Donnamouth  NY 97634,97634,NY,AGREE,DISAGREE,AGREE
Allison Dickerson,Female,091-47-8390,57,305 Kaufman Well West Nicholasburgh  OH 74436,74436,OH,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Carl Smith,Male,672-36-8262,37,Unit 8730 Box 7516 DPO AP 01496,1496,AP,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Timothy Bush,Male,678-64-0608,45,58422 David Causeway Cherylfort  KS 79795,79795,KS,STRONGLY AGREE,not sure,STRONGLY AGREE
William Long,Male,507-92-2601,27,3193 Brown Walk North Dianebury  MI 49599,49599,MI,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Michael Vaughn,Male,564-74-4762,58,84823 Hall Loaf Apt. 899 Lake James  GA 79728,79728,GA,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Carol Cuevas,Female,153-94-3384,56,9410 Potts Pines Suite 304 Lake Brittanyshire  MT 20577,20577,MT,DISAGREE,AGREE,DISAGREE
Bradley Rodgers,Male,691-82-6223,64,61964 Simpson Station Apt. 610 North Michael  PA 35517,35517,PA,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Ann Williams,Female,412-15-3436,71,50963 Jacob Ferry Apt. 566 Port Patriciaton  SD 04620,4620,SD,DISAGREE,maybe,DISAGREE
Peter Williams,Male,691-24-2866,59,14731 Jacqueline Squares East Tinatown  NV 27544,27544,NV,DISAGREE,STRONGLY DISAGREE,DISAGREE
Julie Clark,Female,198-88-7943,36,PSC 8587  Box 1536 APO AE 78519,78519,AE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Kelly Schmidt,Female,526-95-2914,60,8030 Johnson Shores New Barbara  WV 97407,97407,WV,STRONGLY AGREE,AGREE,STRONGLY AGREE
David Thompson,Male,523-84-4111,74,1247 Clay Islands South Darinville  OK 83911,83911,OK,STRONGLY DISAGREE,AGREE,AGREE
Eric Cameron,Male,450-62-4135,70,98552 Cruz Fall Apt. 244 West Lauren  NC 37993,37993,NC,STRONGLY AGREE,DISAGREE,DISAGREE
Steven Carroll,Male,646-30-0251,24,41106 Robbins Pass Mayshire  VA 30759,30759,VA,AGREE,STRONGLY AGREE,DISAGREE
Jean Martin,Female,134-49-4958,29,884 Jacob Park Apt. 130 New Deborahton  WV 22857,22857,WV,STRONGLY AGREE,don't know,DISAGREE
Melissa Russell,Female,688-85-5951,67,37417 Wright Square Port Benjaminfort  KS 48440,48440,KS,DISAGREE,DISAGREE,DISAGREE
Erika Gonzalez,Female,035-17-3553,40,Unit 6523 Box 8670 DPO AP 22552,22552,AP,STRONGLY DISAGREE,DISAGREE,depends
Angelica Miller,Female,845-52-6381,78,USS Bush FPO AE 08839,8839,AE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
John Moreno,Male,695-41-2003,74,15250 Wilcox Summit Apt. 409 Loganview  AZ 38427,38427,AZ,STRONGLY AGREE,AGREE,AGREE
Brian Knight,Male,475-18-4507,19,1954 Macias Corners Kaylaville  DE 10436,10436,DE,AGREE,AGREE,no community
Justin Jones,Male,600-11-8839,48,7538 Charles Oval West George  VA 00561,561,VA,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Rachel Robinson,Female,826-18-5098,38,03838 Diane Mews Port Daniel  OK 06243,6243,OK,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Ashley Wilson,Female,014-20-1478,69,0439 Amy Valley Suite 790 Port Erinside  MO 29255,29255,MO,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Katherine King,Female,129-94-2509,64,0713 Walter Ford Suite 999 Belindaview  CA 98397,98397,CA,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Jessica Brown,Female,726-42-2083,64,97143 Seth Hollow Riosville  NC 27252,27252,NC,STRONGLY AGREE,AGREE,DISAGREE
Craig Gilbert,Male,395-71-6290,47,1455 Williams Passage Russellview  TN 09458,9458,TN,STRONGLY DISAGREE,maybe,AGREE
Donald Morales,Male,898-77-1366,58,8242 Joshua Square East Nicolefort  UT 69616,69616,UT,STRONGLY AGREE,AGREE,STRONGLY AGREE
Alexander Jacobs,Male,757-14-2719,36,75616 Brittany Islands Jamiehaven  AK 66408,66408,AK,DISAGREE,DISAGREE,DISAGREE
Christian Chan,Male,621-60-1633,53,661 Sheppard Mews Johnsonville  NV 22865,22865,NV,STRONGLY AGREE,STRONGLY AGREE,AGREE
Beth Thomas,Female,252-68-7538,59,PSC 6189  Box 1494 APO AP 35657,35657,AP,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Cheryl Valdez,Female,460-70-6969,38,89661 Powell Meadow Suite 350 New Julie  VA 84918,84918,VA,DISAGREE,AGREE,AGREE
Kevin Johnson,Male,897-02-0332,44,408 Williams Station South Ericbury  IA 39942,39942,IA,DISAGREE,STRONGLY DISAGREE,sometimes
Stephanie Powell,Female,025-54-9948,69,763 Holmes Ridge Port Daniel  OK 98909,98909,OK,DISAGREE,DISAGREE,DISAGREE
Ethan Jensen,Male,538-36-7079,57,22460 Baker Green Suite 435 West Jesseborough  SD 62743,62743,SD,STRONGLY DISAGREE,STRONGLY AGREE,DISAGREE
Thomas Mills,Male,510-21-0538,77,00051 Carpenter Plains New Julia  AL 42132,42132,AL,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Emily Cross,Female,629-03-7645,65,81860 Elijah Spur Apt. 992 Feliciaborough  IL 06855,6855,IL,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Michael Martin,Male,589-55-7383,62,4445 Crystal Dale Port Shannon  OH 92098,92098,OH,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Barbara Vance,Female,011-31-8446,53,318 Wyatt Glen East Brendaborough  AK 62406,62406,AK,STRONGLY DISAGREE,STRONGLY AGREE,DISAGREE
Ann Little,Female,602-83-9462,29,8877 Monique Manor Rogersberg  GA 96243,96243,GA,NEUTRAL,don't know,STRONGLY DISAGREE
Jack Walker,Male,674-14-2051,48,418 Daniel Landing South Joseph  OK 53634,53634,OK,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Jaime Andersen,Male,265-97-0120,60,40706 Atkinson Glen New Gregory  CA 94023,94023,CA,AGREE,AGREE,STRONGLY AGREE
Richard Pierce,Male,429-55-7807,69,PSC 4236  Box 3580 APO AE 08132,8132,AE,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Rhonda Harris,Female,779-71-4629,70,1645 Dixon Crescent Brianstad  NV 91923,91923,NV,DISAGREE,AGREE,DISAGREE
Colleen Wiggins,Female,458-36-3911,71,814 Meredith Course Apt. 021 Port Ethan  WA 91542,91542,WA,DISAGREE,AGREE,STRONGLY DISAGREE
Tina Rice,Female,422-22-6493,31,496 Wendy Greens Glasston  FL 76589,76589,FL,NEUTRAL,STRONGLY AGREE,DISAGREE
Ashley White,Female,429-41-4861,48,33478 Anderson Club Apt. 758 Jonathanfurt  ID 22014,22014,ID,DISAGREE,DISAGREE,AGREE
Michael Shaw,Male,740-66-3570,47,066 Cynthia Hollow Apt. 928 Romeroshire  TX 61919,61919,TX,STRONGLY DISAGREE,DISAGREE,depends
John Sutton,Male,783-15-9098,29,572 Jeremy Prairie Suite 106 Port Elizabethville  HI 36133,36133,HI,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Julie Butler,Female,035-46-1410,67,788 Michael Loaf Davidfurt  MA 59676,59676,MA,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Paul Hall,Male,111-17-5421,34,Unit 2838 Box 1250 DPO AP 79840,79840,AP,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Laura Barrett,Female,307-87-1456,34,442 Young Path Port David  SD 33104,33104,SD,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Jacob Marsh,Male,800-17-0072,53,1269 Conrad Junction New Sarah  CO 09846,9846,CO,DISAGREE,DISAGREE,AGREE
David Brooks,Male,731-51-2631,22,8354 Day Radial East Riley  AR 00775,775,AR,DISAGREE,AGREE,DISAGREE
Michael Larsen,Male,341-23-4138,24,32900 Jessica Path Monicaland  WV 87784,87784,WV,AGREE,DISAGREE,DISAGREE
Devon Payne,Male,254-27-8830,57,785 Hughes Fort South Lauramouth  NY 32777,32777,NY,AGREE,STRONGLY DISAGREE,DISAGREE
Joshua Smith,Male,513-05-4466,75,33247 Jessica Greens Apt. 616 North Tammy  GA 79013,79013,GA,AGREE,AGREE,DISAGREE
Angela Munoz,Female,726-23-1768,39,Unit 7809 Box 9938 DPO AP 47938,47938,AP,STRONGLY DISAGREE,STRONGLY DISAGREE,DISAGREE
Jimmy Hunt,Male,242-66-0170,22,44178 Arthur Squares Apt. 538 Lake Rebeccafurt  WI 75775,75775,WI,AGREE,DISAGREE,AGREE
Jermaine Davis,Male,522-22-4711,19,901 Trevino Track West Jaredfurt  VA 41030,41030,VA,AGREE,STRONGLY AGREE,DISAGREE
Sharon Nunez,Female,754-01-2284,49,276 James Cliffs Suite 386 West Katelynburgh  MN 41266,41266,MN,AGREE,AGREE,AGREE
Autumn Franklin,Female,414-23-2590,39,24296 Alan Green North Robertville  WV 49365,49365,WV,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Monica Mcdonald,Female,797-29-4606,29,396 Barker Mall Kaitlinport  MI 62169,62169,MI,STRONGLY AGREE,STRONGLY AGREE,sometimes
Dylan Pitts,Male,638-24-5540,78,611 Fisher Fork Suite 293 West Lindaville  NE 63201,63201,NE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Angela Acosta,Female,229-63-0982,50,948 Clark Valley Suite 719 Weaverview  OK 06911,6911,OK,DISAGREE,AGREE,AGREE
George Crawford,Male,418-88-4929,33,4233 Phillips Course Suite 463 Tylerbury  TX 13596,13596,TX,AGREE,don't know,AGREE
Katherine Peterson,Female,420-20-3638,62,966 Alejandro Drive Suite 410 Colebury  AL 89731,89731,AL,STRONGLY AGREE,DISAGREE,AGREE
Erin Ellis,Female,500-88-0823,48,82127 Jordan Mountain Apt. 884 East Melissa  KY 59780,59780,KY,DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Tyrone Ball,Male,002-58-1953,49,41586 Gina Way Johnsonchester  ID 77810,77810,ID,DISAGREE,STRONGLY DISAGREE,sometimes
Rachel Ortega,Female,852-43-9010,56,5187 Timothy Skyway Haleychester  MS 92884,92884,MS,STRONGLY AGREE,AGREE,DISAGREE
Laura Rodriguez,Female,864-52-1115,63,74508 Ramos Corners Lake Tanyafurt  SC 05619,5619,SC,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Anne Burton DVM,Female,294-97-9899,49,7164 Hayes Center North Frank  MD 33752,33752,MD,AGREE,STRONGLY DISAGREE,AGREE
Michael Ellis,Male,298-90-8900,51,473 Andrew Springs Suite 335 Port Markshire  NY 53835,53835,NY,STRONGLY DISAGREE,DISAGREE,DISAGREE
James Williamson,Male,755-96-5066,66,63234 Acosta Glen Wendyport  ME 21302,21302,ME,STRONGLY AGREE,AGREE,AGREE
David Smith,Male,680-22-7668,41,2245 William Summit Suite 803 New Lucashaven  AR 32776,32776,AR,STRONGLY DISAGREE,AGREE,DISAGREE
Kirk Edwards,Male,122-74-6143,27,933 Hampton Trail Suite 755 South Angelafurt  MS 31931,31931,MS,AGREE,DISAGREE,depends
Barbara Foster,Female,467-28-6501,35,01982 Paul Divide Apt. 900 Olsonland  VA 68210,68210,VA,AGREE,AGREE,STRONGLY AGREE
Jessica Gallegos,Female,788-36-0336,32,58497 Page Flats Suite 527 Port Stacey  OK 31648,31648,OK,STRONGLY AGREE,AGREE,DISAGREE
Rhonda Foster,Female,361-03-1037,44,8616 Fernandez Springs South Cindychester  NV 97199,97199,NV,DISAGREE,not sure,STRONGLY AGREE
David Fowler,Male,089-43-4070,35,87193 Tate Roads Sherrimouth  VA 97733,97733,VA,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Joshua Stephens,Male,012-11-6927,25,87999 Rocha Lane New Laurieberg  VT 20842,20842,VT,AGREE,STRONGLY AGREE,STRONGLY AGREE
Heidi Nunez,Female,744-03-8651,71,9248 John Hills Apt. 131 Jessicaland  OR 70880,70880,OR,STRONGLY DISAGREE,AGREE,sometimes
Roger Young,Male,847-31-3669,48,63459 Christopher Mills South Stephanie  ND 19684,19684,ND,AGREE,DISAGREE,DISAGREE
Kimberly Black,Female,425-70-9002,50,41874 Kelsey Alley New Michael  MN 47120,47120,MN,AGREE,STRONGLY DISAGREE,depends
Natalie Schwartz,Female,543-86-5525,75,93491 Newman Junctions Port Charles  DE 64007,64007,DE,AGREE,AGREE,STRONGLY AGREE
Joseph Bailey,Male,677-56-5895,52,30111 Gray Port Suite 438 Morganberg  WY 67891,67891,WY,DISAGREE,STRONGLY AGREE,AGREE
Heather Ramirez,Female,833-12-7704,66,294 Martin Forge East Jennifermouth  WV 52773,52773,WV,AGREE,AGREE,STRONGLY AGREE
Tiffany Hays,Female,531-95-9700,58,3817 William Manors Suite 333 Port Matthew  CA 33582,33582,CA,STRONGLY DISAGREE,STRONGLY AGREE,DISAGREE
Jennifer Edwards,Female,751-04-4649,41,5080 Kristina Corners Collinsfurt  AZ 38916,38916,AZ,STRONGLY AGREE,STRONGLY AGREE,AGREE
Sheri Delgado,Female,517-12-4360,31,54047 Brown Valleys Suite 766 Jensenbury  MT 42357,42357,MT,STRONGLY AGREE,STRONGLY AGREE,AGREE
Patricia Shelton,Female,378-41-1004,31,97145 Dickson Fort Apt. 067 North Pedro  AL 93572,93572,AL,STRONGLY AGREE,not sure,DISAGREE
Haley Morgan,Female,398-70-7529,45,66286 Robert Glen Apt. 624 Vanessaburgh  NJ 22327,22327,NJ,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Randall Bishop,Male,499-02-5075,66,1284 Eric Neck Apt. 566 Porterton  LA 80478,80478,LA,DISAGREE,AGREE,STRONGLY DISAGREE
Brian Austin,Male,022-26-9335,76,91803 Collins Divide Apt. 654 South Richardmouth  OR 99903,99903,OR,DISAGREE,STRONGLY AGREE,DISAGREE
Anna James,Female,582-15-0856,25,15974 Corey River Henrymouth  AZ 71731,71731,AZ,STRONGLY AGREE,DISAGREE,DISAGREE
Candace Hartman,Female,109-96-1709,50,95130 Rivera Freeway Suite 519 West Michelle  WY 65100,65100,WY,DISAGREE,AGREE,DISAGREE
Justin Hill,Male,657-99-9234,42,0610 Jordan Unions Suite 628 Jonesbury  IL 90835,90835,IL,STRONGLY AGREE,DISAGREE,AGREE
Christopher Chavez,Male,420-45-3973,58,235 Andrew Rest Apt. 470 Careyport  SC 79970,79970,SC,AGREE,DISAGREE,STRONGLY DISAGREE
Jason Davis,Male,392-25-9450,68,PSC 6761  Box 5351 APO AP 57833,57833,AP,DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Jesus Barnett,Male,667-69-1400,45,096 Benjamin Manor Apt. 563 Port Tara  IL 51316,51316,IL,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Jade Lopez,Female,020-18-7873,56,PSC 2721  Box 1578 APO AP 96616,96616,AP,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Tammy Ramirez,Female,898-22-8465,27,5993 Walters Union Suite 537 Sandyton  NC 41355,41355,NC,NEUTRAL,DISAGREE,STRONGLY DISAGREE
Cynthia Bradshaw,Female,557-61-5676,27,8542 Mathis Inlet Suite 675 Chanberg  MO 57743,57743,MO,STRONGLY AGREE,maybe,AGREE
David Williams,Male,503-23-3211,25,919 Erica Manors Apt. 590 Leslieside  MA 67699,67699,MA,AGREE,DISAGREE,DISAGREE
Jacqueline Holmes,Female,499-91-2563,25,82166 Philip Dam North Tammy  NC 23822,23822,NC,STRONGLY AGREE,DISAGREE,DISAGREE
Jason Lam,Male,363-22-1210,62,1213 Woods Path Suite 884 New Terri  MA 00735,735,MA,DISAGREE,STRONGLY DISAGREE,DISAGREE
Benjamin Hicks,Male,860-99-7713,28,635 Ruiz Loop Suite 306 West Kathrynton  ID 73910,73910,ID,AGREE,DISAGREE,depends
Parker Ewing,Male,421-67-0365,42,PSC 2633  Box 5405 APO AP 75625,75625,AP,AGREE,DISAGREE,DISAGREE
Robert Calderon,Male,198-03-9319,47,353 Kirby Harbors Lake Jesse  SC 94409,94409,SC,DISAGREE,DISAGREE,STRONGLY DISAGREE
Jordan Scott,Female,675-08-6930,27,75102 Walsh Knolls Mortonstad  AZ 37719,37719,AZ,STRONGLY AGREE,AGREE,DISAGREE
Anna Arnold MD,Female,190-24-5004,25,61637 Yoder Mews Apt. 287 Robertsbury  NM 78632,78632,NM,STRONGLY AGREE,STRONGLY AGREE,AGREE
Patricia Thompson,Female,351-32-1298,43,0904 Bennett Station Suite 518 New Michael  GA 62900,62900,GA,DISAGREE,AGREE,STRONGLY AGREE
David Lee,Male,243-45-2081,22,174 Christian Circle North Danielleton  SD 40310,40310,SD,DISAGREE,AGREE,STRONGLY AGREE
Kimberly Marshall,Female,391-41-4583,33,52566 Gray Streets East Michael  KS 02214,2214,KS,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Lindsey Brooks,Female,757-31-8887,77,95676 Scott Cliff Suite 790 East Edwardchester  ME 03761,3761,ME,AGREE,STRONGLY DISAGREE,AGREE
Margaret Bauer,Female,645-54-8722,56,85179 Garrett Lake Apt. 590 Hillland  ND 15067,15067,ND,STRONGLY DISAGREE,AGREE,AGREE
Juan Reed,Male,435-60-2541,19,13782 Anthony Falls Apt. 124 Freemanfort  CO 96231,96231,CO,AGREE,AGREE,STRONGLY AGREE
Alexis Johnson,Female,042-89-7794,55,8896 Jackson Garden Suite 092 Davidstad  WI 37030,37030,WI,STRONGLY DISAGREE,AGREE,AGREE
John Estrada,Male,247-17-0817,52,0929 Smith Motorway Apt. 940 Port Leahhaven  SD 79321,79321,SD,DISAGREE,AGREE,STRONGLY DISAGREE
Kelly Cole,Female,181-44-9675,27,36399 Thomas Harbor Apt. 120 West Kevinhaven  NM 16420,16420,NM,NEUTRAL,not sure,STRONGLY AGREE
Jennifer Bridges,Female,333-02-3292,55,USNV Reed FPO AP 89105,89105,AP,STRONGLY AGREE,STRONGLY DISAGREE,no community
Cindy Weaver,Female,860-59-8193,53,82490 Martin Shoal Apt. 652 Crystalland  MA 93191,93191,MA,AGREE,STRONGLY AGREE,sometimes
Ann Randall,Female,766-66-0315,26,93064 Michael Cliffs West Katherinemouth  PA 69799,69799,PA,STRONGLY AGREE,DISAGREE,no community
Brandi Rogers,Female,884-77-6061,32,924 Maria Brooks Apt. 639 South Emmaside  RI 56693,56693,RI,STRONGLY AGREE,AGREE,DISAGREE
Andrea Frazier,Female,374-29-7650,71,017 Wright Creek Apt. 538 South Jacobville  TN 89534,89534,TN,STRONGLY AGREE,AGREE,AGREE
Christopher Cook,Male,222-81-9079,57,48678 Timothy Drive Apt. 173 Kathleenview  KS 02056,2056,KS,DISAGREE,AGREE,STRONGLY AGREE
Elizabeth Pierce,Female,758-75-7414,41,719 Mary Parkways Suite 035 Port Amy  CO 07878,7878,CO,STRONGLY AGREE,DISAGREE,DISAGREE
Douglas Turner,Male,499-53-8044,56,Unit 8788 Box 3619 DPO AE 24315,24315,AE,DISAGREE,don't know,sometimes
Travis Rodriguez,Male,624-91-5492,30,538 Fernandez Roads Hernandezchester  DE 68580,68580,DE,DISAGREE,AGREE,STRONGLY DISAGREE
Tammy Macias,Female,079-74-1452,29,525 Robinson Isle West Meganfort  MA 45920,45920,MA,NEUTRAL,DISAGREE,DISAGREE
Brittany Roberts,Female,653-41-0860,48,6447 Cynthia Dale Mitchellfurt  OK 85488,85488,OK,DISAGREE,AGREE,STRONGLY AGREE
Kevin Owens,Male,846-80-6510,21,64363 Colon Well Port Danielleside  CO 60202,60202,CO,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Sharon Bishop,Female,302-06-0566,40,1629 Patterson Summit Martinborough  CT 20572,20572,CT,DISAGREE,DISAGREE,STRONGLY DISAGREE
Michelle Williams,Female,451-18-5832,29,86884 Aaron Lodge Baldwinmouth  NM 94751,94751,NM,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Ian Joseph,Male,405-16-0862,26,0258 Chen Alley Apt. 583 Kellyside  KY 26657,26657,KY,AGREE,DISAGREE,AGREE
Steven Henderson,Male,028-80-3433,34,005 Jonathan Wells Anneport  NC 32629,32629,NC,AGREE,AGREE,AGREE
Gina Taylor,Female,337-47-7721,70,23267 Jacqueline Stream Apt. 961 Millerfurt  TN 24097,24097,TN,AGREE,STRONGLY DISAGREE,DISAGREE
Jennifer Taylor,Female,177-06-7579,58,16497 Taylor Bypass New Meagan  SD 62472,62472,SD,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
